id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
6886,User6886,43.0,Male,Mobile,Bottom,,Evening,1
3908,User3908,50.0,Female,Desktop,Bottom,,Evening,1
8789,User8789,44.0,Female,Desktop,Top,Entertainment,Evening,1
6724,User6724,37.0,Female,Desktop,Top,,Evening,1
8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1
8373,User8373,29.0,Male,Desktop,Side,Shopping,Afternoon,1
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
4114,User4114,38.0,Non-Binary,Desktop,Top,Entertainment,Morning,0
5346,User5346,30.0,Non-Binary,Tablet,Top,News,Morning,1
3846,User3846,38.0,Non-Binary,Tablet,Bottom,Entertainment,Unknown,1
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Night,1
9425,User9425,56.0,Female,Tablet,,Social Media,Afternoon,0
2282,User2282,50.0,Female,Tablet,Top,,Evening,0
9367,User9367,21.0,Male,Mobile,,Social Media,Unknown,0
7720,User7720,46.0,Female,Tablet,Top,Social Media,Morning,0
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1
1762,User1762,41.0,Male,Desktop,Side,Entertainment,Afternoon,1
6129,User6129,36.0,Male,Tablet,,Shopping,Evening,1
3430,User3430,61.0,Male,Desktop,Side,Social Media,Morning,1
6768,User6768,53.0,Male,Mobile,Side,Shopping,Unknown,0
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
2542,User2542,58.0,Non-Binary,Mobile,Side,Entertainment,Evening,1
7376,User7376,21.0,Female,Mobile,Side,News,Morning,1
6854,User6854,32.0,Male,Mobile,Bottom,,Night,1
7420,User7420,44.0,Male,Mobile,Top,,Night,0
6669,User6669,38.0,Female,Mobile,Side,,Night,1
7138,User7138,26.0,Male,Tablet,Top,Social Media,Unknown,1
5329,User5329,54.0,Male,Tablet,,Education,Evening,1
8147,User8147,32.0,Female,Desktop,,,Night,1
4707,User4707,21.0,Non-Binary,Desktop,Top,,Evening,1
6086,User6086,24.0,Male,Desktop,Bottom,,Morning,1
2096,User2096,48.0,Non-Binary,Desktop,,,Night,1
9753,User9753,46.0,Male,Tablet,Top,Entertainment,Night,1
1858,User1858,39.0,Non-Binary,Desktop,,,Unknown,0
6724,User6724,37.0,Female,Desktop,Top,Entertainment,Evening,1
7268,User7268,28.0,Female,Desktop,Bottom,,Evening,1
1969,User1969,46.0,Non-Binary,Mobile,Bottom,,Night,1
1420,User1420,62.0,Non-Binary,Desktop,,News,Unknown,1
9418,User9418,20.0,Male,Tablet,Side,News,Night,1
985,User985,46.0,Male,Desktop,Top,Shopping,Afternoon,0
1653,User1653,37.0,Non-Binary,Mobile,Top,News,Evening,0
6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
6457,User6457,51.0,Male,Desktop,Side,,Afternoon,0
1935,User1935,30.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
3908,User3908,50.0,Female,Desktop,Bottom,,Unknown,1
2021,User2021,41.0,Male,Mobile,,Social Media,Night,1
9511,User9511,37.0,Female,Desktop,Side,News,Evening,0
2425,User2425,42.0,Male,Tablet,Top,Entertainment,Morning,0
911,User911,32.0,Non-Binary,Desktop,Top,,Night,1
3343,User3343,39.0,Non-Binary,Tablet,Top,,Unknown,0
5198,User5198,47.0,Male,Desktop,Bottom,Education,Night,1
4742,User4742,31.0,Male,Desktop,Bottom,,Night,1
1926,User1926,50.0,Female,Mobile,Bottom,,Night,0
1914,User1914,42.0,Male,Tablet,Bottom,,Night,1
1635,User1635,54.0,Female,Tablet,Top,News,Evening,1
3908,User3908,50.0,Female,Desktop,Bottom,,Unknown,1
3801,User3801,26.0,Non-Binary,Desktop,Side,,Unknown,1
1935,User1935,30.0,Female,Desktop,Bottom,,Afternoon,1
9090,User9090,41.0,Male,Desktop,Side,,Unknown,1
3062,User3062,34.0,Male,Desktop,,Entertainment,Evening,1
1651,User1651,35.0,Non-Binary,Mobile,Side,,Afternoon,0
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Unknown,1
3330,User3330,49.0,Male,Desktop,Top,News,Afternoon,1
8937,User8937,57.0,Male,Tablet,Side,,Afternoon,1
5105,User5105,64.0,Male,Tablet,Top,Entertainment,Morning,0
3641,User3641,33.0,Female,Tablet,Top,,Night,1
1704,User1704,61.0,Female,Tablet,Bottom,Shopping,Unknown,1
9472,User9472,25.0,Male,Mobile,,Shopping,Evening,0
6401,User6401,45.0,Female,Mobile,Side,Social Media,Unknown,1
3333,User3333,30.0,Male,Tablet,,,Evening,1
6842,User6842,37.0,Female,Desktop,Side,Entertainment,Afternoon,0
2174,User2174,36.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1
9842,User9842,43.0,Non-Binary,Mobile,Top,Shopping,Afternoon,1
8965,User8965,25.0,Female,Mobile,Bottom,Social Media,Evening,1
6155,User6155,57.0,Female,Tablet,Top,News,Unknown,0
5980,User5980,40.0,Female,Desktop,Side,,Morning,1
9807,User9807,35.0,Non-Binary,Tablet,,,Night,1
1524,User1524,24.0,Male,Mobile,Bottom,,Night,1
7064,User7064,61.0,Male,Tablet,Side,,Night,0
1229,User1229,22.0,Female,Desktop,Bottom,Entertainment,Morning,0
7800,User7800,53.0,Non-Binary,Desktop,Bottom,News,Night,0
4950,User4950,28.0,Male,Mobile,Side,,Unknown,1
4956,User4956,42.0,Male,Mobile,Bottom,Social Media,Morning,0
8174,User8174,20.0,Female,Mobile,Bottom,,Afternoon,1
9842,User9842,43.0,Non-Binary,Mobile,Top,Shopping,Afternoon,1
8666,User8666,57.0,Male,Desktop,Side,Entertainment,Unknown,0
3801,User3801,26.0,Non-Binary,Desktop,,,Evening,1
2913,User2913,57.0,Non-Binary,Mobile,Side,Social Media,Unknown,1
8965,User8965,25.0,Female,Mobile,,Social Media,Unknown,1
8454,User8454,18.0,Female,Tablet,Side,,Unknown,0
2876,User2876,23.0,Non-Binary,Tablet,,Education,Morning,1
6193,User6193,29.0,Female,Desktop,,Shopping,Afternoon,1
1635,User1635,54.0,Female,Tablet,,News,Evening,1
7856,User7856,63.0,Female,Desktop,Side,,Evening,0
2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
7670,User7670,54.0,Female,Tablet,Top,Education,Unknown,1
8947,User8947,22.0,Male,Desktop,,Entertainment,Night,1
1529,User1529,20.0,Female,Mobile,Top,,Afternoon,1
3271,User3271,23.0,Male,Desktop,Top,Entertainment,Afternoon,0
8147,User8147,32.0,Female,Desktop,Top,,Night,1
4361,User4361,29.0,Male,Tablet,Side,Education,Unknown,1
2735,User2735,30.0,Male,Mobile,Bottom,,Evening,0
2782,User2782,58.0,Female,Tablet,Bottom,,Unknown,0
2023,User2023,19.0,Non-Binary,Desktop,Top,,Morning,1
6765,User6765,46.0,Female,Tablet,Side,Entertainment,Morning,1
8459,User8459,38.0,Non-Binary,Tablet,Bottom,,Morning,1
9954,User9954,56.0,Male,Desktop,Side,Entertainment,Unknown,0
6122,User6122,40.0,Non-Binary,Mobile,Side,News,Night,0
5832,User5832,28.0,Non-Binary,Desktop,Side,,Unknown,1
1638,User1638,53.0,Non-Binary,Tablet,Bottom,Education,Evening,0
6237,User6237,32.0,Non-Binary,Mobile,,,Morning,1
2485,User2485,57.0,Non-Binary,Mobile,,News,Night,1
5490,User5490,50.0,Non-Binary,Mobile,Top,,Unknown,0
6438,User6438,53.0,Non-Binary,Tablet,Top,Shopping,Night,1
4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1
3118,User3118,57.0,Male,Mobile,Top,,Evening,1
9527,User9527,44.0,Male,Desktop,,News,Afternoon,0
3335,User3335,24.0,Male,Mobile,,Entertainment,Night,1
4969,User4969,62.0,Female,Tablet,Side,News,Unknown,0
8339,User8339,41.0,Female,Mobile,Side,Education,Unknown,0
8277,User8277,44.0,Female,Desktop,,Social Media,Unknown,0
8606,User8606,28.0,Male,Mobile,Side,News,Night,0
3330,User3330,49.0,Male,Desktop,Top,News,Afternoon,1
9516,User9516,28.0,Female,Desktop,Top,,Morning,1
4938,User4938,28.0,Male,Desktop,Side,Social Media,Evening,1
6063,User6063,18.0,Non-Binary,Desktop,Side,,Unknown,0
2076,User2076,18.0,Female,Mobile,Bottom,News,Morning,0
3801,User3801,26.0,Non-Binary,Desktop,Side,,Unknown,1
58,User58,36.0,Female,Mobile,Top,,Morning,1
6505,User6505,37.0,Female,Tablet,Side,,Unknown,0
375,User375,26.0,Non-Binary,Mobile,,Social Media,Evening,1
4015,User4015,44.0,Male,Tablet,Side,,Evening,1
1910,User1910,63.0,Male,Desktop,Side,Social Media,Night,1
277,User277,59.0,Male,Desktop,Top,Entertainment,Afternoon,1
4411,User4411,49.0,Female,Desktop,,,Morning,0
5805,User5805,29.0,Non-Binary,Tablet,Bottom,,Morning,0
8120,User8120,34.0,Female,Mobile,Side,,Evening,0
7138,User7138,26.0,Male,Tablet,,,Night,1
8994,User8994,34.0,Female,Mobile,Bottom,Entertainment,Morning,1
518,User518,29.0,Male,Tablet,Bottom,Shopping,Morning,1
891,User891,43.0,Male,Tablet,Bottom,Social Media,Morning,0
2457,User2457,61.0,Non-Binary,Mobile,,,Evening,0
2156,User2156,46.0,Female,Tablet,Side,,Afternoon,1
1948,User1948,57.0,Male,Mobile,Top,,Evening,0
5525,User5525,39.0,Female,Tablet,Bottom,,Morning,0
3323,User3323,48.0,Female,Tablet,Side,,Afternoon,1
8530,User8530,52.0,Female,Mobile,Top,Social Media,Unknown,1
4348,User4348,62.0,Female,Desktop,,Shopping,Afternoon,1
488,User488,62.0,Non-Binary,Mobile,Side,,Unknown,0
1529,User1529,20.0,Female,Mobile,Top,Entertainment,Afternoon,1
9990,User9990,25.0,Male,Desktop,,Education,Night,1
9977,User9977,57.0,Female,Mobile,Bottom,Social Media,Unknown,0
316,User316,42.0,Non-Binary,Desktop,Top,Social Media,Night,1
9888,User9888,49.0,Male,Mobile,,News,Unknown,1
487,User487,28.0,Male,Mobile,,,Afternoon,1
1524,User1524,24.0,Male,Mobile,Bottom,,Night,1
9064,User9064,41.0,Female,Mobile,Top,Entertainment,Unknown,1
5235,User5235,24.0,Non-Binary,Mobile,Top,,Afternoon,0
7006,User7006,41.0,Female,Desktop,Top,,Afternoon,0
4230,User4230,35.0,Female,Tablet,,Education,Evening,1
4976,User4976,34.0,Female,Mobile,Bottom,Entertainment,Afternoon,1
6536,User6536,60.0,Male,Desktop,Side,Education,Night,0
4360,User4360,26.0,Non-Binary,Tablet,Top,,Evening,0
3638,User3638,45.0,Non-Binary,Desktop,Top,,Unknown,0
6519,User6519,48.0,Female,Desktop,Top,News,Afternoon,0
5367,User5367,53.0,Male,Desktop,Top,Entertainment,Unknown,0
316,User316,42.0,Non-Binary,Desktop,Top,Social Media,Night,1
6886,User6886,43.0,Male,Mobile,Bottom,,Evening,1
7999,User7999,24.0,Female,Mobile,Top,News,Afternoon,0
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1
1524,User1524,24.0,Male,Mobile,Bottom,,Night,1
5634,User5634,39.0,Male,Desktop,Top,,Morning,0
1635,User1635,54.0,Female,Tablet,Top,News,Evening,1
6466,User6466,44.0,Female,Tablet,Bottom,,Night,0
2174,User2174,36.0,Female,Desktop,,Entertainment,Afternoon,1
2727,User2727,34.0,Non-Binary,Mobile,Bottom,,Afternoon,1
5005,User5005,49.0,Male,Desktop,Top,Shopping,Morning,1
6487,User6487,19.0,Male,Tablet,Side,,Morning,1
3072,User3072,32.0,Non-Binary,Mobile,Bottom,,Night,0
1515,User1515,44.0,Male,Desktop,Bottom,,Morning,0
4015,User4015,44.0,Male,Tablet,,,Unknown,1
4824,User4824,61.0,Female,Mobile,,,Morning,0
4229,User4229,23.0,Male,Mobile,Side,Education,Afternoon,0
9220,User9220,21.0,Female,Mobile,Side,Social Media,Night,1
449,User449,25.0,Female,Tablet,Side,Education,Unknown,0
7080,User7080,31.0,Male,Desktop,Bottom,,Evening,0
3250,User3250,61.0,Non-Binary,Desktop,Top,Education,Unknown,0
2463,User2463,45.0,Female,Mobile,Side,Social Media,Evening,0
676,User676,38.0,Non-Binary,Desktop,,Education,Morning,0
5881,User5881,26.0,Non-Binary,Tablet,,,Morning,1
1254,User1254,32.0,Female,Desktop,Bottom,,Morning,0
2309,User2309,22.0,Male,Tablet,Bottom,Entertainment,Unknown,1
3908,User3908,50.0,Female,Desktop,Bottom,,Evening,1
4950,User4950,28.0,Male,Mobile,Side,,Morning,1
1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1
6865,User6865,38.0,Non-Binary,Desktop,Bottom,Entertainment,Afternoon,0
8484,User8484,53.0,Female,Desktop,Side,News,Afternoon,0
5005,User5005,49.0,Male,Desktop,Top,Shopping,Morning,1
6866,User6866,52.0,Non-Binary,Desktop,Top,Social Media,Evening,0
8251,User8251,49.0,Female,Tablet,Bottom,News,Evening,0
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
6886,User6886,43.0,Male,Mobile,Bottom,,Evening,1
5418,User5418,34.0,Male,Mobile,Top,Entertainment,Unknown,1
1273,User1273,27.0,Non-Binary,Mobile,,,Morning,1
3345,User3345,39.0,Male,Desktop,Side,Social Media,Night,1
1935,User1935,30.0,Female,Desktop,Bottom,,Afternoon,1
1704,User1704,61.0,Female,Tablet,Bottom,Shopping,Evening,1
6733,User6733,42.0,Non-Binary,Tablet,Side,,Afternoon,0
218,User218,62.0,Female,Tablet,Top,News,Evening,0
6990,User6990,21.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,0
6178,User6178,35.0,Female,Tablet,Side,Shopping,Evening,0
5796,User5796,46.0,Non-Binary,Mobile,Bottom,News,Afternoon,1
6143,User6143,29.0,Non-Binary,Mobile,Bottom,,Afternoon,1
2239,User2239,25.0,Female,Tablet,,,Morning,1
234,User234,19.0,Female,Tablet,,,Morning,1
6679,User6679,26.0,Male,Tablet,Bottom,Entertainment,Night,1
8851,User8851,62.0,Female,Tablet,Bottom,,Afternoon,0
5854,User5854,31.0,Non-Binary,Mobile,Top,Social Media,Unknown,0
2414,User2414,38.0,Male,Desktop,Top,Entertainment,Unknown,0
7422,User7422,20.0,Female,Desktop,,,Evening,1
2727,User2727,34.0,Non-Binary,Mobile,Bottom,,Afternoon,1
9075,User9075,36.0,Female,Mobile,Top,,Night,1
6950,User6950,64.0,Female,Tablet,,Shopping,Morning,0
2202,User2202,43.0,Female,Tablet,Top,Education,Unknown,0
6074,User6074,35.0,Male,Mobile,Bottom,,Afternoon,1
7774,User7774,18.0,Male,Tablet,Top,,Night,0
5026,User5026,18.0,Male,Mobile,Side,,Night,0
7277,User7277,21.0,Female,Tablet,Top,Social Media,Afternoon,0
58,User58,36.0,Female,Mobile,Top,,Morning,1
6161,User6161,61.0,Female,Tablet,Bottom,,Afternoon,1
1762,User1762,41.0,Male,Desktop,Side,Entertainment,Afternoon,1
375,User375,26.0,Non-Binary,Mobile,Top,Social Media,Unknown,1
2096,User2096,48.0,Non-Binary,Desktop,,,Night,1
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Afternoon,1
5194,User5194,53.0,Male,Mobile,,,Afternoon,1
9064,User9064,41.0,Female,Mobile,Top,Entertainment,Night,1
5647,User5647,46.0,Female,Tablet,Side,,Morning,1
3137,User3137,19.0,Female,Tablet,,Education,Night,0
5420,User5420,39.0,Male,Mobile,,,Morning,1
5647,User5647,46.0,Female,Tablet,Side,,Morning,1
9842,User9842,43.0,Non-Binary,Mobile,Top,Shopping,Unknown,1
3141,User3141,45.0,Non-Binary,Mobile,,Education,Unknown,0
1635,User1635,54.0,Female,Tablet,Top,News,Evening,1
4950,User4950,28.0,Male,Mobile,Side,,Morning,1
5268,User5268,50.0,Female,Mobile,Top,Shopping,Afternoon,0
7376,User7376,21.0,Female,Mobile,,News,Unknown,1
3144,User3144,24.0,Male,Desktop,Side,Shopping,Morning,1
7530,User7530,51.0,Female,Tablet,Top,Entertainment,Unknown,0
911,User911,32.0,Non-Binary,Desktop,Top,Entertainment,Night,1
3345,User3345,39.0,Male,Desktop,Side,,Night,1
2021,User2021,41.0,Male,Mobile,Bottom,Social Media,Night,1
277,User277,59.0,Male,Desktop,Top,Entertainment,Afternoon,1
5194,User5194,53.0,Male,Mobile,Top,News,Afternoon,1
7268,User7268,28.0,Female,Desktop,Bottom,News,Evening,1
1524,User1524,24.0,Male,Mobile,Bottom,,Night,1
373,User373,34.0,Female,Mobile,Top,Education,Evening,1
7620,User7620,62.0,Female,Mobile,Side,Education,Unknown,0
3375,User3375,52.0,Non-Binary,Mobile,Bottom,Education,Morning,1
8097,User8097,30.0,Non-Binary,Tablet,Side,Social Media,Evening,1
7086,User7086,30.0,Non-Binary,Mobile,Top,,Morning,1
2021,User2021,41.0,Male,Mobile,Bottom,Social Media,Night,1
6496,User6496,18.0,Female,Desktop,,News,Morning,0
8236,User8236,59.0,Non-Binary,Mobile,Top,,Evening,0
6401,User6401,45.0,Female,Mobile,Side,Social Media,Morning,1
2214,User2214,22.0,Non-Binary,Mobile,,Social Media,Afternoon,0
4938,User4938,28.0,Male,Desktop,,Social Media,Evening,1
6871,User6871,62.0,Male,Mobile,,,Night,0
1251,User1251,58.0,Female,Mobile,Top,,Night,0
5832,User5832,28.0,Non-Binary,Desktop,Side,,Afternoon,1
6401,User6401,45.0,Female,Mobile,Side,Social Media,Morning,1
1762,User1762,41.0,Male,Desktop,Side,,Afternoon,1
6188,User6188,20.0,Male,Desktop,,Entertainment,Morning,1
1647,User1647,62.0,Male,Desktop,Bottom,Social Media,Night,0
1624,User1624,31.0,Male,Desktop,Top,News,Unknown,0
4638,User4638,24.0,Female,Tablet,Side,,Unknown,0
4015,User4015,44.0,Male,Tablet,,,Unknown,1
9075,User9075,36.0,Female,Mobile,,,Unknown,1
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1
6143,User6143,29.0,Non-Binary,Mobile,Bottom,,Afternoon,1
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1
806,User806,37.0,Male,Desktop,Top,Social Media,Morning,0
8494,User8494,59.0,Non-Binary,Tablet,Bottom,News,Morning,0
58,User58,36.0,Female,Mobile,Top,,Morning,1
7268,User7268,28.0,Female,Desktop,Bottom,News,Evening,1
4348,User4348,62.0,Female,Desktop,Top,Shopping,Afternoon,1
6287,User6287,40.0,Female,Tablet,Bottom,,Morning,1
9683,User9683,56.0,Female,Desktop,Side,Shopping,Afternoon,0
3588,User3588,38.0,Non-Binary,Mobile,,Shopping,Evening,0
5213,User5213,46.0,Female,Tablet,Side,Social Media,Afternoon,0
6161,User6161,61.0,Female,Tablet,Bottom,,Afternoon,1
316,User316,42.0,Non-Binary,Desktop,Top,,Night,1
8097,User8097,30.0,Non-Binary,Tablet,Side,Social Media,Evening,1
2913,User2913,57.0,Non-Binary,Mobile,Side,Social Media,Evening,1
5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
9091,User9091,29.0,Female,Mobile,Side,,Evening,0
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
277,User277,59.0,Male,Desktop,,,Unknown,1
6167,User6167,20.0,Male,Mobile,Side,Shopping,Unknown,1
9075,User9075,36.0,Female,Mobile,Top,,Night,1
5329,User5329,54.0,Male,Tablet,Side,Education,Evening,1
5382,User5382,21.0,Non-Binary,Tablet,Top,,Evening,0
375,User375,26.0,Non-Binary,Mobile,,Social Media,Evening,1
9195,User9195,60.0,Female,Tablet,Side,,Evening,0
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1
6886,User6886,43.0,Male,Mobile,Bottom,,Evening,1
8994,User8994,34.0,Female,Mobile,Bottom,,Morning,1
1253,User1253,36.0,Female,Desktop,Bottom,Shopping,Morning,1
9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Unknown,1
5082,User5082,44.0,Female,Mobile,Top,,Afternoon,1
905,User905,40.0,Female,Tablet,Side,Shopping,Afternoon,0
4029,User4029,21.0,Female,Desktop,Side,News,Afternoon,1
2023,User2023,19.0,Non-Binary,Desktop,Top,,Morning,1
6467,User6467,30.0,Non-Binary,Desktop,,,Morning,1
4938,User4938,28.0,Male,Desktop,Side,Social Media,Unknown,1
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
9807,User9807,35.0,Non-Binary,Tablet,,Education,Night,1
8003,User8003,45.0,Female,Desktop,Side,,Unknown,0
4170,User4170,26.0,Male,Mobile,Bottom,Entertainment,Unknown,0
2309,User2309,22.0,Male,Tablet,,Entertainment,Night,1
9550,User9550,58.0,Non-Binary,Desktop,Top,Education,Afternoon,1
7674,User7674,43.0,Female,Tablet,,News,Afternoon,1
6573,User6573,55.0,Non-Binary,Desktop,Side,,Evening,1
2602,User2602,61.0,Female,Desktop,,Shopping,Afternoon,1
2913,User2913,57.0,Non-Binary,Mobile,,Social Media,Evening,1
2167,User2167,64.0,Non-Binary,Mobile,Bottom,Social Media,Evening,0
389,User389,31.0,Non-Binary,Tablet,Top,Social Media,Afternoon,1
9362,User9362,57.0,Male,Tablet,Side,,Morning,0
5766,User5766,63.0,Male,Desktop,Side,Social Media,Evening,1
5418,User5418,34.0,Male,Mobile,Top,Entertainment,Evening,1
6104,User6104,39.0,Male,Tablet,,Social Media,Morning,0
5772,User5772,52.0,Male,Desktop,Bottom,News,Morning,0
7376,User7376,21.0,Female,Mobile,,,Morning,1
2876,User2876,23.0,Non-Binary,Tablet,,Education,Morning,1
6129,User6129,36.0,Male,Tablet,Bottom,Shopping,Evening,1
7836,User7836,32.0,Male,Tablet,Top,,Evening,0
3323,User3323,48.0,Female,Tablet,Side,,Afternoon,1
1153,User1153,49.0,Female,Tablet,Side,Shopping,Evening,0
907,User907,47.0,Male,Desktop,Side,News,Night,0
1255,User1255,23.0,Male,Tablet,Side,Social Media,Morning,0
5741,User5741,27.0,Non-Binary,Mobile,Bottom,,Unknown,0
7670,User7670,54.0,Female,Tablet,,Education,Night,1
5110,User5110,44.0,Female,Tablet,Top,Shopping,Unknown,1
2602,User2602,61.0,Female,Desktop,Side,Shopping,Afternoon,1
6161,User6161,61.0,Female,Tablet,Bottom,,Afternoon,1
9842,User9842,43.0,Non-Binary,Mobile,,Shopping,Afternoon,1
2021,User2021,41.0,Male,Mobile,Bottom,Social Media,Night,1
4721,User4721,61.0,Non-Binary,Desktop,Side,,Morning,0
9272,User9272,50.0,Female,Tablet,Side,Social Media,Morning,0
9418,User9418,20.0,Male,Tablet,Side,News,Night,1
8253,User8253,57.0,Non-Binary,Desktop,,,Unknown,1
5402,User5402,29.0,Male,Mobile,,,Unknown,0
4957,User4957,58.0,Male,Desktop,,Social Media,Evening,1
6679,User6679,26.0,Male,Tablet,Bottom,Entertainment,Night,1
6989,User6989,28.0,Male,Mobile,Bottom,Shopping,Unknown,1
3403,User3403,56.0,Female,Desktop,,,Night,1
4539,User4539,54.0,Male,Mobile,Bottom,,Night,1
2173,User2173,52.0,Male,Mobile,Bottom,Shopping,Unknown,1
8561,User8561,52.0,Male,Mobile,,,Evening,1
5843,User5843,51.0,Non-Binary,Mobile,,,Morning,0
400,User400,52.0,Non-Binary,Tablet,,,Evening,1
5800,User5800,50.0,Male,Mobile,Side,Entertainment,Unknown,0
4957,User4957,58.0,Male,Desktop,,Social Media,Evening,1
4034,User4034,43.0,Female,Desktop,Top,Shopping,Night,1
5198,User5198,47.0,Male,Desktop,Bottom,,Night,1
6854,User6854,32.0,Male,Mobile,,,Night,1
8726,User8726,62.0,Female,Desktop,Side,Education,Morning,1
5531,User5531,34.0,Male,Desktop,,,Night,1
2239,User2239,25.0,Female,Tablet,Bottom,Education,Morning,1
3336,User3336,26.0,Non-Binary,Desktop,Bottom,,Unknown,1
4950,User4950,28.0,Male,Mobile,Side,,Morning,1
7670,User7670,54.0,Female,Tablet,,Education,Night,1
5943,User5943,51.0,Non-Binary,Tablet,Top,,Evening,0
3044,User3044,34.0,Male,Desktop,Top,News,Night,1
6248,User6248,48.0,Female,Mobile,Top,,Evening,1
8954,User8954,62.0,Non-Binary,Tablet,Top,Entertainment,Evening,0
7808,User7808,26.0,Female,Desktop,Top,,Night,1
5122,User5122,64.0,Female,Mobile,,Social Media,Unknown,0
2934,User2934,26.0,Non-Binary,Desktop,Top,Entertainment,Unknown,1
1071,User1071,61.0,Female,Mobile,Side,,Evening,0
8311,User8311,58.0,Non-Binary,Desktop,,,Unknown,0
8965,User8965,25.0,Female,Mobile,Bottom,Social Media,Evening,1
6267,User6267,62.0,Non-Binary,Tablet,Top,,Morning,0
1908,User1908,26.0,Male,Mobile,Bottom,Education,Evening,1
6490,User6490,36.0,Non-Binary,Desktop,Bottom,,Night,0
981,User981,57.0,Non-Binary,Tablet,Bottom,,Night,0
2297,User2297,57.0,Male,Tablet,Side,,Morning,1
8486,User8486,62.0,Male,Mobile,Top,Education,Afternoon,0
8937,User8937,57.0,Male,Tablet,Side,,Afternoon,1
5198,User5198,47.0,Male,Desktop,Bottom,Education,Night,1
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1
3333,User3333,30.0,Male,Tablet,Top,,Evening,1
1691,User1691,45.0,Male,Desktop,,News,Night,0
6727,User6727,51.0,Non-Binary,Desktop,Bottom,,Night,0
4179,User4179,61.0,Male,Mobile,Side,,Evening,0
9807,User9807,35.0,Non-Binary,Tablet,,Education,Night,1
5194,User5194,53.0,Male,Mobile,Top,News,Afternoon,1
6287,User6287,40.0,Female,Tablet,Bottom,,Unknown,1
9532,User9532,28.0,Female,Desktop,,Social Media,Night,0
3002,User3002,52.0,Male,Mobile,Bottom,News,Afternoon,0
1692,User1692,49.0,Non-Binary,Desktop,Top,Entertainment,Night,0
7930,User7930,35.0,Female,Mobile,Bottom,Social Media,Evening,0
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
1935,User1935,30.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Unknown,1
9753,User9753,46.0,Male,Tablet,Top,Entertainment,Night,1
8115,User8115,20.0,Female,Mobile,,Social Media,Afternoon,1
9976,User9976,57.0,Male,Tablet,Top,,Unknown,0
5123,User5123,54.0,Non-Binary,Desktop,Top,,Morning,0
5418,User5418,34.0,Male,Mobile,Top,Entertainment,Evening,1
8863,User8863,54.0,Non-Binary,Tablet,Side,Entertainment,Afternoon,0
6299,User6299,38.0,Non-Binary,Tablet,Top,Social Media,Afternoon,0
4957,User4957,58.0,Male,Desktop,Bottom,Social Media,Evening,1
7688,User7688,57.0,Male,Mobile,Top,News,Evening,1
5418,User5418,34.0,Male,Mobile,Top,Entertainment,Unknown,1
7574,User7574,35.0,Male,Desktop,Side,Education,Evening,0
3189,User3189,32.0,Male,Mobile,,Shopping,Evening,0
301,User301,59.0,Male,Tablet,Side,,Unknown,1
5082,User5082,44.0,Female,Mobile,Top,Shopping,Afternoon,1
8166,User8166,39.0,Non-Binary,Tablet,Side,,Morning,0
9842,User9842,43.0,Non-Binary,Mobile,Top,,Afternoon,1
400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1
1574,User1574,64.0,Male,Mobile,,,Evening,0
6188,User6188,20.0,Male,Desktop,Bottom,,Unknown,1
2006,User2006,27.0,Non-Binary,Desktop,Bottom,Entertainment,Evening,0
2441,User2441,49.0,Male,Mobile,Top,Social Media,Morning,0
798,User798,30.0,Non-Binary,Mobile,,News,Morning,0
7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
7670,User7670,54.0,Female,Tablet,Top,Education,Night,1
3075,User3075,33.0,Non-Binary,Tablet,,,Night,0
9753,User9753,46.0,Male,Tablet,Top,Entertainment,Unknown,1
